NSPIS Agency,NSPIS,Model 1 Detail,Latitude,Longitude,NSPIS Street Address,Place,Postcode,Opening hours
Latrobe CHS - Moe,1132,Fixed Site,-38.180211,146.261221,42-44 Fowler Street,MOE,3825,M-F 8:30am-5pm; Moe After-Hours Medical Service (MAHMS) M-F 7:30pm-10:30pm; Sat 4:30pm-10:30pm; Sun & public holidays 2:30pm-10:30pm
Latrobe CHS - Morwell,1130,Fixed Site,-38.235833,146.400086,"Alcohol & Drug Service, 81-87 Buckley Street",MORWELL,3840,"8.00am to 4.30pm, Monday to Friday"
Latrobe CHS - Traralgon,1131,Fixed Site,-38.196626,146.540283,Cnr Seymour Street & Princes Highway,TRARALGON,3844,"9am to 4.30pm, Monday to Friday"
Latrobe Regional Hospital,1135,Fixed Site,-38.223545,146.466581,"Emergency Department, Princes Highway",TRARALGON,3844,"24 hours, 7 days a week"
Laverton Pharmacy,1652,Pharmacy,-37.867718,144.760441,"Shop 2, 8 Neville Avenue",LAVERTON,3028,"M-F 9am-7pm, Sat 9am-2pm, Sun 10am-1pm"
Lorne Community Hospital,1138,Fixed Site,-38.545479,143.980829,Albert Street,LORNE,3232,"24 hours, 7 days a week"
Lorne Pharmacy,1498,Pharmacy,-38.541332,143.975049,138 Mountjoy Parade,LORNE,3232,M-F 9am-5.30pm; Sat 9am-6pm; Sun 10am-4pm (trading hours extend during summer)
Lowprice - Pharmacy Braybrook,1527,Pharmacy,-37.781331,144.864516,"Shop 1, Braybrook Shopping Centre, 227 Ballarat Road",BRAYBROOK,3019,M-F 9am-7pm; Sat 9am-5pm; Sun 10am-2pm
Lowprice Pharmacy - Watsonia,1648,Pharmacy,-37.709469,145.082731,83 Watsonia Road,WATSONIA,3087,Monday - Saturday 9:00 - 7:00; Sunday - 10:00 - 2:00
Lygon Pharmacy,1453,Pharmacy,-37.773094,144.971623,158 Lygon Street,BRUNSWICK EAST,3057,M-F 8am-8pm; Sat/Sun 9am-2pm
M A Johnson Pharmacy,1650,Pharmacy,-37.772848,145.112089,1 Macedon Road,TEMPLESTOWE LOWER,3107,Monday - Sunday 9:00 - 9:00 ; Christmas Day - 9:00 - 12:00
Macedon Ranges Health Services,1139,Fixed Site,-37.485687,144.584737,5 Neal Street,GISBORNE,3437,"9am to 5.30pm, Monday to Friday"
Maldon Pharmacy,1559,Pharmacy,-36.996306,144.068635,33 Main Street,MALDON,3463,M-F 9am-5pm; Sat 9am-12pm
Maling Road Pharmacy,1772,Pharmacy,-37.82461,145.081855,131 Maling Road,CANTERBURY,3126,Mon - Fri: 9am - 6pm; Sat 9am - 5pm; Sun 10am - 2pm
Mallacoota District Health & Support Service,1140,Fixed Site,-37.558586,149.750476,Cnr Genoa Road & Mattsson Street,MALLACOOTA,3892,"9am to 5pm, Monday to Friday"
Mallee District Aboriginal Services - Kerang,1768,Fixed Site,-35.7341,143.917664,9 Nolan Street,KERANG,3579,Mon - Thur 9am - 5pm; Fri 9am - 4pm
Mallee District Aboriginal Services - Mildura,1150,Fixed Site,-34.188881,142.160668,"Health Services, 120 Madden Avenue",MILDURA,3500,M-Th 9am-5pm; Fri 9am-4pm; Vehicle 9am-11pm 7 days a week
Mallee District Aboriginal Services - Swan Hill,1210,Fixed Site,-35.340522,143.561435,70 Nyah Road,SWAN HILL,3585,"9am to 5pm Monday to Thursday, 9am to 4pm Friday"
Malvern East Pharmacy,1339,Pharmacy,-37.877431,145.058907,332 Waverley Road,MALVERN EAST,3145,M-F 9am-6pm; Sat 9am-1.30pm; Sun / Public Hols Closed
Manningham Community Health Services,1680,Fixed Site,-37.789426,145.161398,"Unit 1, 1020 Manningham Road",DONCASTER EAST,3109,9:00am -4:30pm M-F (Closed Public Holidays)
Manningham Pharmacy,1444,Pharmacy,-37.773145,145.11521,200 High Street,TEMPLESTOWE LOWER,3107,M-F 8am-10pm; Sat & Sun 9am-5pm
Mansfield District Hospital,1141,Fixed Site,-37.0579,146.086192,"Accident & Emergency, 53 Highett Street",MANSFIELD,3722,"24 hours, 7 days a week"
Marc Clavin Pharmacy,1469,Pharmacy,-38.339511,144.739957,61-63 Ocean Beach Road,SORRENTO,3943,M-F 9am-6pm; Sat 9am-5pm; Sun 10am-4pm
Marraboor Pharmacy,1633,Pharmacy,-35.340713,143.559575,30-34 Mc Crae Street,SWAN HILL,3585,M-F 9am-5:30pm; Sat 9am-12:30pm; Sun 9am-12pm
Maryborough District Health Service - CHS,1143,Fixed Site,-37.044724,143.737408,75-87 Clarendon Street,MARYBOROUGH,3465,"9am to 5pm, Monday to Friday"
Maryborough District Health Service - Hospital,1432,Fixed Site,-37.044724,143.737408,75-87 Clarendon Street,MARYBOROUGH,3465,Hospital A&E at any time
McCrae Pharmacy,1472,Pharmacy,-38.351324,144.921727,"Shop 7, McCrae Plaza, 739 Point Nepean Road",MCCRAE,3938,M-F 9am-6pm; Sat 9am-3pm; Sun 10am-2pm; Public Hol 10am-2pm; Closed Christmas Day
McCrossin & Phan Pharmacy,1376,Pharmacy,-37.743676,144.800957,8 Alfrieda Street,ST ALBANS,3021,M-F 9am-7pm; Sat 9am-6pm; Sun 10am-2pm
McKinnon Pharmacy,1672,Pharmacy,-37.910778,145.037375,157 McKinnon Road,MCKINNON,3204,"M-F 8.30am-6.00pm, Sat 9.00am-1.00pm"
Meadow Heights Pharmacy,1576,Pharmacy,-37.650538,144.922553,"Shop 5, Meadow Heights Shopping Centre, Paringa Boulevard",MEADOW HEIGHTS,3048,M-F 9am-9pm; Sat 9am-6pm; Sun 10am-5pm
Medepharmacy,1429,Pharmacy,-37.745892,145.007034,227 Bell Street,PRESTON,3072,M-F 8.30am-7pm; Sat 9am-3pm; Sun 10am-3pm; Pub Hols 10am-1pm
MedSafe Pharmacy,1641,Pharmacy,-37.750948,144.98872,104-106 Miller Street,PRESTON,3072,"M-F 9am- 5:30pm, Sat 9am-2pm"
Mercy Health - Werribee Mercy Hospital,1233,Fixed Site,-37.885669,144.698951,"Accident & Emergency Department, 300 Princes Highway",WERRIBEE,3030,"24 hours, 7 days a week"
Merri CHS - Brunswick,1155,Fixed Site,-37.771555,144.962567,11 Glenlyon Road,BRUNSWICK,3056,M-F 8:30am-6pm; Sa 9am-12noon
Merri CHS - Coburg,1156,Fixed Site,-37.74142,144.965743,93 Bell Street,COBURG,3058,"9am to 5pm, Monday to Friday"
Midtown Pharmacy,1441,Pharmacy,-37.81291,145.083306,397 Whitehorse Road,BALWYN,3103,M-F 9am-6pm; Sat 9am-1pm; Sun Closed
Miegels Pharmacy - Rutherglen,1473,Pharmacy,-36.053919,146.459124,134 Main Street,RUTHERGLEN,3685,M-F 9am-5.30pm; Sat 9am-12pm; Closed Public Holidays
Mitchell Chemist,1714,Pharmacy,-37.96662,145.174963,29 Douglas Street,NOBLE PARK,3174,Mon - Fri: 8:30am - 5:30pm; Sat: 8:30am - 1:00pm; Sun: CLOSED
Monash Health - Casey Hospital,1702,Secure Dispensing Unit,-38.045345,145.346847,62 - 70 Kangan Drive,BERWICK,3806,24 hours
Monash Health - Dandenong Hospital,1706,Secure Dispensing Unit,-37.977769,145.220159,124 David Street,DANDENONG,3175,24 hours
Monash Health - Monash Medical Centre,1685,Secure Dispensing Unit,-37.920718,145.123085,246 Clayton Road,CLAYTON,3168,
Monash Health - SEADS,1067,Fixed Site,-37.99012,145.212203,"South Eastern Alcohol & Drug Service, 86 Foster Street",DANDENONG,3175,9.30 to 6.00pm 7 days a week
Monash Health - Springvale,1205,Fixed Site,-37.952996,145.151174,"Springvale AIDS & Hepatitis Prevention Team, 55 Buckingham Avenue",SPRINGVALE,3171,M-F 9am-5pm
Monash Health Community - Cockatoo,1045,Fixed Site,-37.935662,145.492065,1 McBride Street,COCKATOO,3781,"9:00 am - 5:00 pm, Monday to Thursday."
Monash Health Community - Cranbourne,1066,Fixed Site,-38.113053,145.280789,140-155 Sladen St,CRANBOURNE,3977,"9:00 am - 4:30 pm, Monday to Friday."
Monash Health Community - Doveton,1047,Fixed Site,-37.992153,145.238789,67 Power Road,DOVETON,3177,"9:00 am - 5:00 pm, Monday to Friday."
Monash Health Community - Pakenham,1043,Fixed Site,-38.070959,145.481644,2 Henty Way,PAKENHAM,3810,"9:00 am - 5:00 pm, Monday to Friday"
Monashlink CHS,1154,Fixed Site,-37.891537,145.077686,568 Neerim Road,HUGHESDALE,3166,"8.30am to 5pm, Monday to Friday"
Moorabbin Pharmacy,1709,Pharmacy,-37.935051,145.035527,908 Nepean Highway,HAMPTON EAST,3188,"Mon-Fri 9am - 9 pm; Sat 9am - 5pm; Sunday & Public Hols 10am - 4 pm; CLOSED Christmas Day, New Year's Day, Good Friday"
Mooroopna Pharmacy,1464,Pharmacy,-36.394143,145.360175,90 McLennan Street,MOOROOPNA,3629,M-Th 8.30am-5.30pm; Fri 8.30am-6pm; Sat 9am-12.30pm; Closed Sunday and public hols
Mordialloc Beachside Pharmacy,1776,Pharmacy,-38.007565,145.08667,596 Main Street,MORDIALLOC,3195,Mon - Fri: 9am - 5:30pm; Sat 9am - 12:30pm; Sun CLOSED
Mornington Community Information and Support Centre,1157,Fixed Site,-38.225741,145.042727,320 Main Street,MORNINGTON,3931,"9am to 5pm, Monday to Friday"
Mortlake Pharmacy,1378,Pharmacy,-38.080705,142.806788,110 Dunlop Street,MORTLAKE,3272,"M-F 9am-1.30pm, 2pm-5pm"
Moyne Health Services,1279,Fixed Site,-38.381813,142.227584,Villiers Street,PORT FAIRY,3284,24 hours per day 7 days per week
Mt Evelyn Pharmacy,1715,Pharmacy,-37.785694,145.378582,35 Wray Crescent,MT EVELYN,3796,Mon - Fri 8:30am - 8pm; Sat 9am - 3pm; Sun 9am - 2pm
Murray Fry Amcal Pharmacy,1733,Pharmacy,-38.233761,143.148297,135 Manifold Street,CAMPERDOWN,3260,Mon - Fri 9am - 5:30pm; Sat 9am - 12pm; Sun CLOSED
Murrumbeena Pharmacy,1348,Pharmacy,-37.900957,145.064198,227A Murrumbeena Road,MURRUMBEENA,3163,Monday - Friday - 8.30-6.30; Saturday 9.00-2.00; Sunday 10.00-2.00
My Chemist - Bayside Frankston,1387,Pharmacy,-38.141777,145.123041,"Shop G035Q, 28 Beach Street",FRANKSTON,3199,M-W 8.30am-6pm; Th-F 8.30am-9pm; Sat-Sun 10am-5pm
My Chemist - Frankston,1388,Pharmacy,-38.146953,145.124438,49 Davey Street,FRANKSTON,3199,M-F 8am-12pm; Sat-Sun 9am-11pm
My Chemist - Mildura,1634,Pharmacy,-34.184899,142.160287,69 Langtree Mall,MILDURA,3500,M-F 9am-5:30pm; Sat 9am-3pm
My Chemist - Murrumbeena,1673,Pharmacy,-37.890513,145.066718,88 Murrumbeena Road,MURRUMBEENA,3163,M-F 9am-7pm; Sat 9am-2pm;Sun 9am-1pm
Myrtleford Pharmacy,1482,Pharmacy,-36.561629,146.726328,43 Clyde Street,MYRTLEFORD,3737,M-F 9am-5.45pm; Sat 9am-12.45pm; Closed Sunday and Public Holidays
Nagels Pharmacy,1614,Pharmacy,-38.476879,145.946371,10-14 Bair Street,LEONGATHA,3953,M-F 8:30am-6pm; Sat 8:30am-12:30pm; Sun 10am-1pm
Nam Anh Pharmacy,1575,Pharmacy,-37.744243,144.798512,47-49 Main Road West,ST ALBANS,3021,M-F 9am-7pm; Sat 9am-6pm; Sun 10am-5pm
Nathalia District Hospital,1681,Fixed Site,-36.056341,145.197655,36-44 McDonell Street,NATHALIA,3638,8:00am-8:00pm 7 days
National Pharmacy - Burntbridge,1667,Pharmacy,-37.797111,145.256981,"Shop 6 & 8A, 434 Maroondah Highway",CROYDON,3136,Mon - Fri 8:30 am - 9:00 pm; Sat & Sun 8:30 am - 6:00 pm
National Pharmacy - Wheelers Hill,1668,Pharmacy,-37.909873,145.189508,"Shops 9-11, 190 Jells Road",WHEELERS HILL,3150,Mon - Fri 9:00am - 9:00pm; Sat & Sun 9:00am - 6:00pm
Neerim South Pharmacy,1508,Pharmacy,-38.015492,145.954737,"Shop 2, 85-87 Main Road",NEERIM SOUTH,3831,M-F 9am-5.30pm; Sat 9am-12.30pm
Nelsons Amcal Pharmacy,1603,Pharmacy,-37.707882,144.938507,124 West Street,GLENROY,3046,"8:30am-7:00pm M-F, 9:00am-3:00pm Sat, 10:00am-12:00pm Sun, Pub Hol"
Newcomb Central Pharmacy,1632,Pharmacy,-38.170497,144.39256,"Shop 5a, Newcomb Central Shopping Centre, Bellarine Highway",NEWCOMB,3219,M-F 8:30am-7pm; Sat 9am-5pm; Sun 9am-5pm
Newtons Pharmacy,1390,Pharmacy,-37.794602,144.93025,477 Macaulay Road,KENSINGTON,3031,M-F 9am-6pm; Sat 9am-1pm; Sun 10am-Noon
Nexus Primary Health - Broadford,1151,Fixed Site,-37.205104,145.049318,72 Ferguson Street,BROADFORD,3658,M-F 8:30am-5pm
Nillumbik Health - Eltham,1085,Fixed Site,-37.714614,145.148005,917 Main Road,ELTHAM,3095,M 9am-9pm; Tu-F 9am-5pm; 9am-12noon
Normanby Pharmacy,1489,Pharmacy,-37.759421,145.000246,705 High Street,THORNBURY,3071,M-F 8am-8pm; Sat/Sun 9am-6pm; Public Holidays 10am-3pm
North Balwyn Pharmacy,1757,Pharmacy,-37.793524,145.06449,81 Doncaster Road,BALWYN NORTH,3104,Mon - Fri 9:00am - 6pm; Sat 9am - 1pm; Sun CLOSED
North East Health - Wangaratta,1229,Fixed Site,-36.354747,146.314691,"Emergency Department, 24 Green Street",WANGARATTA,3677,"24 hours, 7 days a week"
North Fitzroy Pharmacy,1730,Pharmacy,-37.783748,144.983034,35 Best Street,FITZROY NORTH,3068,Mon - Fri 9am - 6:30pm; Sat 9am - 5pm; Sun 10am - 2pm
North Richmond CHC,1166,Fixed Site,-37.813182,144.995652,23 Lennox Street,RICHMOND,3121,M-Th 9am-7pm;F 9am-5pm
North Richmond CHC,1166,Secure Dispensing Unit,-37.813182,144.995652,23 Lennox Street,RICHMOND,3121,M-Th 7pm-9am;F 5pm-9am; Sat & Sun 24 hours
Nova Pharmacy - Bacchus Marsh,1505,Pharmacy,-37.675902,144.439235,"Shop 66, Bacchus Marsh Shopping Centre, Main Street",BACCHUS MARSH,3340,M-F 8.30am-8pm; Sat 8.30am-5pm; Sun /most public hols 9.30am-3pm
Nova Pharmacy - Ballarat,1511,Pharmacy,-37.562524,143.854272,12 Doveton St,BALLARAT,3350,M-F 9am-6pm; Sat 9am-4pm
Nova Pharmacy - Belvedere Park,1475,Pharmacy,-38.112337,145.156951,284 Seaford Road,SEAFORD,3198,Everyday 9am-9pm
Nova Pharmacy - Brandon Park,1380,Pharmacy,-37.904607,145.161281,"Shop 29-31, Brandon Park Shopping Centre, Cnr Springvale & Ferntree Gully Roads",WHEELERS HILL,3150,M-W 9am-5.30pm; Thurs 9am-9pm; Fri 9am-7pm; Sat 9am-5pm; Sun 10am-4pm
Nova Pharmacy - Wendouree,1510,Pharmacy,-37.541225,143.837862,1019-1021 Howitt Street,WENDOUREE,3355,M-F 8.30am-6.30pm; Sat 9am-12pm
Numurkah District Health Service,1171,Fixed Site,-36.099345,145.443559,2-4 Katamatite-Nathalia Road,NUMURKAH,3636,"24 hours, 7 days a week"
Numurkah District Health Service - Numurkah District Hospital,1172,Fixed Site,-36.099345,145.443559,2-4 Katamatite-Nathalia Road,NUMURKAH,3636,"24 hours, 7 days a week"
Nyah West Pharmacy,1764,Pharmacy,-35.185165,143.343523,144 Monash Avenue,NYAH WEST,3595,Mon - Fri 9am - 5:30 pm; Sat 9am - 12pm; Sun/Public Hols CLOSED
Ocean Plaza Pharmacy,1618,Pharmacy,-38.267689,144.523054,"Shop 2, Ocean Plaza, Cnr The Parade & Presidents Avenue",OCEAN GROVE,3226,M-F 9am-5:30pm; Sat 9am-1pm
Olsen Place Pharmacy,1599,Pharmacy,-37.689843,144.926704,13 Olsen Place,BROADMEADOWS,3047,M-F 9am-6pm; Sat 9am-1pm
Open Family Australia,1173,Vehicle Outreach,-37.833905,144.948781,155 Roden Street,WEST MELBOURNE,3003,"8pm - 10:30pm, Tue, Wed, Fri, Sat"
Orbost Pharmacy,1581,Pharmacy,-37.705831,148.454976,125 Nicholson Street,ORBOST,3888,M-F 9am-5:30pm; Sat 9am-12:30pm
Orbost Regional Health,1087,Fixed Site,-37.701708,148.465569,104-107 Boundary Road,ORBOST,3888,"24 hours, 7 days a week"
Otway Health,1175,Fixed Site,-38.754205,143.664467,75 McLachlan Street,APOLLO BAY,3233,"8am to 8pm, 7 days a week"
Outlook Drive Pharmacy,1347,Pharmacy,-37.950813,145.219786,"Shop 2A, Outlook Drive Shopping Centre, Outlook Drive",DANDENONG NORTH,3175,"Monday - Friday 9.00am - 5.30pm, Saturday 9.00am - 12.30pm"
Pascoe Vale Late Pharmacy,1377,Pharmacy,-37.730975,144.938786,104 Cumberland Road,PASCOE VALE,3044,M-F 9am-7pm; Sat 9am-2pm
Pascoe Vale Pharmacy,1568,Pharmacy,-37.730131,144.927633,448 Gaffney Street,PASCOE VALE,3044,Mon-Fri 8:30-7pm; Sat 9am-2pm; Sun CLOSED
Patels Pharmacy,1526,Pharmacy,-37.793584,144.979042,451 Brunswick Street,FITZROY,3065,M-F 10am-7.30pm; Sat 10am-6pm; Sun 11am-6pm
Paul Wickham Pharmacy,1463,Pharmacy,-36.394975,145.359268,83 McLennan Street,MOOROOPNA,3629,M-F 8.30am-6pm; Sat 9am-12.30pm; Closed Sun and Public Hols
Peninsula Health - Frankston Integrated Health Centre,1199,Fixed Site,-38.15241,145.13151,12-32 Hastings Road,FRANKSTON,3199,"6.30pm to 9.45pm, Monday to Sunday"
Peninsula Health - Peninsula CHS Hastings,1184,Fixed Site,-38.303445,145.19031,185 High Street,HASTINGS,3915,"9am to 5pm, Monday to Friday"
Peninsula Health - SHARPS,1203,Fixed Site,-38.141877,145.125986,"Southern Hepatitis/HIV/AIDS Resource & Prevention, 20 Young Street",FRANKSTON,3199,"9.30am to 5.00pm, Monday to Friday"
Perry Moshidis Pharmacy,1370,Pharmacy,-37.818073,144.999079,"Shop 22, Richmond Plaza Shopping Centre, 246 Church Street",RICHMOND,3121,M - Sun 9am-9pm
Pharmacy 4 Less - Curlewis,1763,Pharmacy,-38.168948,144.545168,"Shop 10, 90 Centennial Blvd",CURLEWIS,3222,24 hours
Pharmacy 4 Less - Lucas,1682,Pharmacy,-37.553281,143.771822,"Shop 1, Woolworths, Lucas Coltman Plaza",ALFREDTON,3350,Mon-Fri 8am - 9pm; Sat 8am - 7pm; Sun 10am - 7pm
Pharmacy 4 Less - Torquay,1755,Pharmacy,-38.330903,144.322714,1/222 Fischer Street,TORQUAY,3228,"Mon-Wed, Fri: 8:30am - 6pm; Thur: 8:30am - 7:00pm; Sat: 9:00am - 5:30pm; Sun: 10:30am - 4:00pm"
Pharmacy 4 You,1678,Pharmacy,-37.805713,144.880132,281 Geelong Road,KINGSVILLE,3012,Mon-Fri 9am - 6pm; Sat 9am - 1pm
Pharmacy 517,1406,Pharmacy,-37.844646,144.97907,517 St. Kilda Road,MELBOURNE,3004,M-F 8.30am-6.30pm
Pharmacy Alliance - Mallacoota Pharmacy,1695,Pharmacy,-37.55854,149.757591,52 Maurice Avenue,MALLACOOTA,3892,M-F 9am-5pm; Sat 9am-12noon
Pharmacy NEO,1552,Pharmacy,-38.384921,142.237072,35-37 Sackville Street,PORT FAIRY,3284,Mon-Fri 8am-6pm;Sat 9am-1pm;Sun CLOSED
Pharmacy World - East Fawkner,1626,Pharmacy,-37.707431,144.970156,60 Major Road,FAWKNER,3060,M-F 9am-5pm; Sat 9am-1pm
Pharmacy World - Fawkner,1628,Pharmacy,-37.701776,144.965568,63-65 Bonwick Street,FAWKNER,3060,M-Su 8:30am-9:00pm
Pharmacy World - North Fawkner,1627,Pharmacy,-37.69594,144.968042,101 Anderson Road,FAWKNER NORTH,3060,M-F 9am-5pm; 9am-12pm
Pharmasave - Noble Park,1359,Pharmacy,-37.965583,145.173583,9 Douglas Street,NOBLE PARK,3174,Every day 9.00am - 9.00pm
Pharmasave - Northcote,1565,Pharmacy,-37.768544,145.00141,"Shop GX 06-07, Northcote Plaza Shopping Centre, 3 Separation Street",NORTHCOTE,3070,M-Sun 8.30am-9pm
Pharmasave - Preston Market,1555,Pharmacy,-37.738022,145.003002,247-249 Murray Road,PRESTON,3072,M-F 8am-10pm; Sat 8am-8pm; Sun 9am-8pm; P/holidays 10am-8pm
Pharmasave Mornington Village Pharmacy,1719,Pharmacy,-38.22345,145.040342,"Shop 3, 241 Main Street",MORNINGTON,3931,Mon - Fri 8am - 8pm; Sat 8am - 7pm; Sun 9am - 7pm
Pharmore Pharmacy - Hawthorn,1383,Pharmacy,-37.819253,145.036191,738 Glenferrie Road,HAWTHORN,3122,M-F 8am-9pm; Sat 8am-8pm; Sun/P.Hol 9am-6pm
Phillip Island Pharmacy,1524,Pharmacy,-38.456783,145.238709,"Shop 2 , 164-166 Thompson Avenue",COWES,3922,M-F 9am-6pm; Sat/Sun/Public Holidays 9am-1pm
Plenty Valley Community Health,1185,Fixed Site,-37.655606,145.015119,187 Cooper Street,EPPING,3076,"9am to 9pm, Monday to Wednesday; 9am to 5pm, Thursday to Friday"
Point Lonsdale Pharmacy,1554,Pharmacy,-38.286719,144.614145,"Shop 2-3, 53-55 Point Lonsdale Road",POINT LONSDALE,3225,M-F 9am-5.30pm; Sat 9am-1pm
Portarlington Pharmacy,1500,Pharmacy,-38.115317,144.653619,90 Newcombe Street,PORTARLINGTON,3223,M-F 9am-5.30pm; Sat 9am-12.30pm (Extends to 7-day trading over summer)
Portland District Health - Hospital,1187,Fixed Site,-38.340242,141.60656,Bentinck Street,PORTLAND,3305,"24 hours a day, 7 days a week"
Power Pharmacy,1369,Pharmacy,-37.821593,145.025232,116 Power Street,HAWTHORN,3122,M - F 8.30am - 6pm; Sat 9am - 12.30pm
Priceline Pharmacy - Balaclava,1771,Pharmacy,-37.868797,144.992294,161-163 Carlisle Street,BALACLAVA,3183,Mon - Fri: 9am - 7pm; Sat 9am - 6pm; Sun 10am - 5pm
Priceline Pharmacy - Ballarat,1567,Pharmacy,-37.560273,143.845282,1010 Sturt Street,BALLARAT,3350,365 days 8am-9pm
Priceline Pharmacy - Ballarat (Bridge Mall),1521,Pharmacy,-37.562505,143.860906,2 Bridge Mall,BALLARAT,3350,M-F 8.30am-6pm; Sat 8.30am-5pm
Priceline Pharmacy - Balwyn,1647,Pharmacy,-37.81307,145.084616,427 Whitehorse Road,BALWYN,3103,"M-Th 9am-7pm, F 9am-8pm, Sat 9am-6pm, Sun 10am-5pm"
Priceline Pharmacy - Benalla,1741,Pharmacy,-36.555712,145.966057,83 Bridge Street,BENALLA,3672,Mon - Fri 8:30am - 6pm; Sat 9am - 1pm; Sun/Public Hols CLOSED
Priceline Pharmacy - Blackburn,1039,Pharmacy,-37.831453,145.146729,109 Canterbury Road,BLACKBURN SOUTH,3130,Business Hours
Priceline Pharmacy - Bundoora,1446,Pharmacy,-37.696497,145.058403,39a Plenty Road,BUNDOORA,3083,M-F 8.30am-9pm; Sat-Sun 9am-9pm
Priceline Pharmacy - Corio,1365,Pharmacy,-38.074434,144.359576,"Shop G 021, Corio Shopping Centre, Cnr Bacchus Marsh & Purnell Rds",CORIO,3214,Mon - Wed 8.30am - 5.30pm; T 8.30am - 7.00pm; F 8.30am - 9.00pm
Priceline Pharmacy - Dandenong,1696,Pharmacy,-37.987016,145.216532,"Shop 122, Dandenong Plaza, Corner McCrae & Walker Streets",DANDENONG,3175,"M, Tu, W 9a -5:30pm; Th-F 9am-9pm; Sat 9am - 5pm; Sun 11am-4pm"
Priceline Pharmacy - Footscray,1488,Pharmacy,-37.800656,144.898598,"Shop 32, Cnr Paisley St & Albert St",FOOTSCRAY,3011,M-W 9am-6pm; Th/F 9am-7pm; Sat 9am-6pm; Sun 11am-3pm
Priceline Pharmacy - Gisborne,1504,Pharmacy,-37.484883,144.589949,"Shop 1, 18 Brantome Street",GISBORNE,3437,M-F 8.30am-8.30pm; Sat/Sun/Public Hols 9am-5pm
Priceline Pharmacy - Heathmont,1712,Pharmacy,-37.828624,145.24599,160 Canterbury Road,HEATHMONT,3135,Mon - Fri : 9:00am - 9:00pm; Sat & Sun: 9:00am - 6:00pm
Priceline Pharmacy - Horsham,1367,Pharmacy,-36.715572,142.196817,34 Darlot Street,HORSHAM,3400,M - T 9.00am - 6.00pm; F 9.00am - 8.00pm; Sat 9am - 5pm; Sun 10am - 3pm
Priceline Pharmacy - Kangaroo Flat,1496,Pharmacy,-36.795699,144.243751,116-120 High Street,KANGAROO FLAT,3555,M-Th 9am-7pm; Fri 9am-9pm; Sat 9am-4pm; Sun 10am-4pm
Priceline Pharmacy - Moonee Ponds,1410,Pharmacy,-37.766524,144.920669,122 Puckle Street,MOONEE PONDS,3039,M-F 8.30am-6.30pm; Sat 8.30am-6pm; Sun 10am-4pm
Priceline Pharmacy - Mornington Central,1574,Pharmacy,-38.21907,145.039567,"Shop C14, Mornington Central Shopping Centre, Cnr Barkly & Gordon Streets",MORNINGTON,3931,M-W 9am-5.30pm; Th/F 9am-7pm; Sat 9am-5pm; Sun 10am-5pm
Priceline Pharmacy - Morwell,1070,Pharmacy,-38.238069,146.397752,13 Tarwin Street,MORWELL,3840,Business Hours
Priceline Pharmacy - Niddrie,1604,Pharmacy,-37.736703,144.890253,451-453 Keilor Road,NIDDRIE,3042,M-F 8:30am-8pm; Sat 8:30am-5pm; Sun 9am-3pm
Priceline Pharmacy - Pakenham,1010,Pharmacy,-38.077079,145.480898,"Shop 1, Pakenham Place Shopping Centre , John Street",PAKENHAM,3810,Business Hours
Priceline Pharmacy - Reservoir,1455,Pharmacy,-37.716095,145.005885,4 Edwardes Street,RESERVOIR,3073,M-F 8.30am-8pm; Sat/Sun 9am-5pm
Priceline Pharmacy - Warrnambool,1366,Pharmacy,-38.383416,142.4842,110 Liebig Street,WARRNAMBOOL,3280,M - T 8.30am - 5.30pm; F 8.30am - 7.00pm; Sat 9.00am - 3.00pm
Primary Care Connect,1096,Fixed Site,-36.38259,145.399276,399 Wyndham Street,SHEPPARTON,3630,"9am to 5pm, Monday to Friday"
Primary Care Connect,1096,Fixed Site,-36.38259,145.399276,399 Wyndham Street,SHEPPARTON,3630,"9am to 5pm, Monday to Friday"
Pulse Pharmacy - Malvern,1330,Pharmacy,-37.851839,145.030244,1122 Malvern Road,MALVERN,3144,Opening hours
Quality Pharmacy - Bellpost,1480,Pharmacy,-38.089601,144.335815,"Shop 17-18, Bellpost Shopping Centre, 290-306 Anakie Road",NORLANE,3214,M-F 9am-6pm; Sat 9am-5pm; Sun/Public Hols Closed
Quality Pharmacy - Burwood,1625,Pharmacy,-37.852772,145.15167,"Shop 20, Kmart Plaza, Cnr Burwood Highway & Blackburn Road",BURWOOD EAST,3151,M-F 9am-9pm; Sat 9am-6pm; Sun 10am-5pm
Quality Pharmacy - Keilor Downs,1616,Pharmacy,-37.72605,144.807036,"Shop 23, Centro Keilor, Taylors Road",KEILOR DOWNS,3038,M-W 9am-6pm; Thu-Fri 9am-9pm; Sat 9am-5pm; Sun 10am-5pm
Quality Pharmacy - Werribee Medical,1624,Pharmacy,-37.877504,144.683115,"Shop T192, Werribee Plaza, Derrimut Road",HOPPERS CROSSING,3029,M-Thu 8:30am-9:30pm; Fri 8:30am-9pm; Sat 9am-8pm; Sun 9am-9pm
Quality Pharmacy - Werribee Plaza,1623,Pharmacy,-37.877576,144.683273,"Shop T109, Werribee Plaza, Derrimut Road",HOPPERS CROSSING,3029,M-W 9am-6pm; Thu-Fri 9am-9pm; Sat 9am-5pm; Sun 10am-5pm
