Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Annecto HCP Program Eastern Region - Level 2,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $1,210,871 "
Annecto HCP Program Loddon Mallee Region - Level 1,161-163 Langtree Avenue,,MILDURA,VIC,3500,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $32,510 "
Annecto HCP Program Loddon Mallee Region - Level 2,161-163 Langtree Avenue,,MILDURA,VIC,3500,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $965,284 "
annecto Community Aged Care Packages Northern Metro Region,215 Sydney Road,,COBURG,VIC,3058,Northern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.749184,144.96502," $1,649,032 "
Annecto HCP Program Eastern Region - Level 4,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $2,287,932 "
Annecto HCP Program Loddon Mallee Region - Level 3,161-163 Langtree Avenue,,MILDURA,VIC,3500,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $70,157 "
annecto EACH - Western Metropolitan Region,David House Little David Street,,YARRAVILLE,VIC,3013,Western Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.81522665,144.8819183," $397,797 "
Annecto Grampians Region,215 Sydney Road,,COBURG,VIC,3058,Northern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.749184,144.96502," $77,096 "
Annecto NMR,215 Sydney Road,,COBURG,VIC,3058,Northern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.749184,144.96502," $2,201,865 "
Annecto HCP Program Eastern Region - Level 1,41-43 Ringwood Street,,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-37.812089,145.227127," $3,467 "
Annecto HCP Program Loddon Mallee Region - Level 4,161-163 Langtree Avenue,,MILDURA,VIC,3500,Loddon-Mallee,Home Care,,,,annecto Inc,Charitable,Outer Regional Australia,-34.1882549,142.1562233," $1,260,017 "
Apto EACH,9-11 Cecil Circuit,,CROYDON,VIC,3136,Eastern Metro,Home Care,,,,Apto Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.803836,145.265999," $167,866 "
Apto EACH - SMR,9-11 Cecil Circuit,,CROYDON,VIC,3136,Eastern Metro,Home Care,,,,Apto Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.803836,145.265999," $214,369 "
Apto Neighbourhood CACP - SMR,9-11 Cecil Circuit,,CROYDON,VIC,3136,Eastern Metro,Home Care,,,,Apto Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.803836,145.265999," $245,796 "
Arcare Home Packages - Melbourne Western Region,Acare Greenhill,161 a Centre Dandenong Road,CHELTENHAM,VIC,3192,Southern Metro,Home Care,,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.96762608,145.075935," $950,575 "
Arcare EACH-D Packages (Southern Metro),Arcare Sandfield,161 a Centre Dandenong Road,CHELTENHAM,VIC,3192,Southern Metro,Home Care,,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.96762608,145.075935," $96,652 "
Arcare Home Packages - Melbourne Eastern Region,Arcare Sandfield,161 a Centre Dandenong Road,CHELTENHAM,VIC,3192,Southern Metro,Home Care,,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.96762608,145.075935," $320,185 "
Arcare Home Packages - Melbourne Southern Region,Arcare Sandfield,161 a Centre Dandenong Road,CHELTENHAM,VIC,3192,Southern Metro,Home Care,,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.96762608,145.075935," $542,811 "
Australian Croatian Community Services,4-8 Parker Street,,FOOTSCRAY,VIC,3011,Western Metro,Home Care,,,,Australian Croatian Community Services Inc,Community Based,Major Cities of Australia,-37.80673537,144.9029024," $1,003,700 "
Australian Croatian Community Services (Eastern Region),128-130 Walker Street,,DANDENONG,VIC,3175,Southern Metro,Home Care,,,,Australian Croatian Community Services Inc,Community Based,Major Cities of Australia,-37.98759699,145.2158488," $151,455 "
Australian Croatian Community Services (Southern Region),128-130 Walker Street,,DANDENONG,VIC,3175,Southern Metro,Home Care,,,,Australian Croatian Community Services Inc,Community Based,Major Cities of Australia,-37.98759699,145.2158488," $752,379 "
Australian Home Care - Eastern Metro,"Suite 1, 2 Brandon Park Drive",,WHEELERS HILL,VIC,3150,Eastern Metro,Home Care,,,,Australian Home Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90455305,145.1638222," $447,713 "
Australian Home Care - Southern Metro,"Suite 1, 2 Brandon Park Drive",,WHEELERS HILL,VIC,3150,Eastern Metro,Home Care,,,,Australian Home Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90455305,145.1638222," $280,378 "
Australian Multicultural Community Services,"Suite 111, 44-56 Hampstead Road",,MAIDSTONE,VIC,3012,Western Metro,Home Care,,,,Australian Multicultural Community Services Inc,Community Based,Major Cities of Australia,-37.778731,144.875602," $162,612 "
Australian Multicultural Community Services,"Suite 111, 44-56 Hampstead Road",,MAIDSTONE,VIC,3012,Western Metro,Home Care,,,,Australian Multicultural Community Services Inc,Community Based,Major Cities of Australia,-37.778731,144.875602," $3,091,612 "
Australian Multicultural Community Services,"Suite 111, 44-56 Hampstead Road",,MAIDSTONE,VIC,3012,Western Metro,Home Care,,,,Australian Multicultural Community Services Inc,Community Based,Major Cities of Australia,-37.778731,144.875602," $1,149,036 "
Australian Multicultural Community Services,"Suite 111, 44-56 Hampstead Road",,MAIDSTONE,VIC,3012,Western Metro,Home Care,,,,Australian Multicultural Community Services Inc,Community Based,Major Cities of Australia,-37.778731,144.875602," $1,549,513 "
Australian Unity Community Care Eastern Metro EACH,Walmsley Friendship Village,500 Greeves Drive,KILSYTH,VIC,3137,Eastern Metro,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8056764,145.3098247," $331,565 "
SCC (VIC) - Hume HCP2,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, n.a.
SCC (VIC) - Hume HCP4,1 Dunlop Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Southern Cross Care (VIC),Religious,Inner Regional Australia,-36.362197,145.404367, n.a.
Ballan District Health & Care,33 Cowie Street,,BALLAN,VIC,3342,Grampians,Home Care,,,,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,Inner Regional Australia,-37.59918085,144.2226728," $495,014 "
Ballan District Health & Care - EACH,33 Cowie Street,,BALLAN,VIC,3342,Grampians,Home Care,,,,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,Inner Regional Australia,-37.59918085,144.2226728," $511,533 "
Baptcare - Eastern HCP 3,"Suite 2, 35 Seymour Street",,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.81605408,145.2237876," $522,769 "
Baptcare - Hume HCP 4,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.683701,145.069212," $1,044,290 "
Baptcare - Loddon HCP 2,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.683701,145.069212," $1,124,551 "
Baptcare - Northern HCP 2,37 / 240 Plenty Road,,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.68357729,145.0695029," $3,930,762 "
Baptcare - Northern HCP 1,37 / 240 Plenty Road,,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.68357729,145.0695029," $250,412 "
Baptcare - Southern HCP 2,"Level 1, 280 Thomas Street",,DANDENONG,VIC,3175,Southern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.985859,145.212851," $3,042,678 "
Baptcare - Eastern HCP 2,Suite 2,35 Seymour Street,RINGWOOD,VIC,3134,Eastern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.81605408,145.2237876," $3,626,493 "
Baptcare - Western HCP 2,2 Devonshire Road,,SUNSHINE,VIC,3020,Western Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.7849206,144.8311425," $2,318,454 "
Baptcare - Barwon HCP 2,228-236 Purnell Road,,CORIO,VIC,3214,Barwon-South Western,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-38.071874,144.341068," $2,047,493 "
Baptcare - Gippsland HCP 2,Shop 2,43 Commercial Road,KORUMBURRA,VIC,3950,Gippsland,Home Care,,,,Baptcare Ltd,Religious,Inner Regional Australia,-38.432645,145.824121," $3,498,100 "
Baptcare - Hume HCP 2,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.683701,145.069212," $1,912,917 "
Baptcare - Northern HCP 4,"Suite 37, 240 Plenty Road",,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.68357729,145.0695029," $3,361,286 "
Village Baxter Care packages,8 Robinsons Road,,FRANKSTON SOUTH,VIC,3199,Southern Metro,Home Care,,,,Baptist Village Baxter Ltd,Religious,Major Cities of Australia,-38.17495539,145.1444955," $847,068 "
Baptcare - Barwon HCP 4,228-236 Purnell Road,,CORIO,VIC,3214,Barwon-South Western,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-38.071874,144.341068," $1,376,230 "
Baptcare - Western HCP 4,2 Devonshire Road,,SUNSHINE,VIC,3020,Western Metro,Home Care,,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.7849206,144.8311425," $4,064,651 "
Bellarine Community Health Inc - HCP,Nelson Road,,POINT LONSDALE,VIC,3223,Barwon-South Western,Home Care,,,,Bellarine Community Health Ltd,Community Based,Inner Regional Australia,-38.27328875,144.6185979," $1,343,628 "
Benetas Dementia EACH Southern,54 Heatherhill Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.865573,145.023296," $1,207,415 "
Benetas EACH Dementia Eastern,361 Mitcham Road,,MITCHAM,VIC,3132,Eastern Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.818291,145.193999," $542,286 "
Benetas EACH Eastern,361 Mitcham Road,,MITCHAM,VIC,3132,Eastern Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.818291,145.193999," $2,653,337 "
Benetas EACH Gippsland,49-53 Hazelwood Road,,TRARALGON,VIC,3844,Gippsland,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-38.210865,146.521642," $1,493,742 "
Benetas EACH Grampians,1 McLeod Street,,MINYIP,VIC,3392,Grampians,Home Care,,,,Anglican Aged Care Services Group,Religious,Outer Regional Australia,-36.45797181,142.5947669," $354,433 "
Benetas EACH Hume,Shop 6-7,69-75 McLennan Street,MOOROOPNA,VIC,3629,Hume,Home Care,,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.39482663,145.3602938," $782,158 "
Benetas EACH Northern,117 lower Heidelberg Road,,IVANHOE,VIC,3079,Northern Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.771199,145.049006," $2,278,576 "
Benetas EACH Southern,54 Heatherhill Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.865573,145.023296," $2,119,719 "
Benetas EACH Western,"Suite 1-2, 77-79 Ashley Street",,BRAYBROOK,VIC,3019,Western Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.7906728,144.8621279," $2,257,441 "
Benetas EACHD Western,"Suite 1-2, 77-79 Ashley Street",,BRAYBROOK,VIC,3019,Western Metro,Home Care,,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.7906728,144.8621279," $170,685 "
BHCG Community Care Services,"37 Havlin Street, East",,BENDIGO,VIC,3550,Loddon-Mallee,Home Care,,,,Bendigo Health Care Group,State Government,Inner Regional Australia,-36.74925273,144.284141," $5,221,065 "
BHCG Community Care Services,"37 Havlin Street, East",,BENDIGO,VIC,3550,Loddon-Mallee,Home Care,,,,Bendigo Health Care Group,State Government,Inner Regional Australia,-36.75701617,144.2793899," $595,593 "
BHCG Community Care Services,"37 Havlin Street, East",,BENDIGO,VIC,3550,Loddon-Mallee,Home Care,,,,Bendigo Health Care Group,State Government,Inner Regional Australia,-36.75701617,144.2793899," $140,784 "
BlueCross CACPs Eastern,381 Toroonga Road,,HAWTHORN EAST,VIC,3123,Eastern Metro,Home Care,,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.846031,145.044807," $913,607 "
BlueCross CACPs Northern,381 Tooronga Road,,HAWTHORN EAST,VIC,3146,Eastern Metro,Home Care,,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.845708,145.044692," $1,121,800 "
BlueCross CACPs Southern,381 Tooronga Road,,HAWTHORN EAST,VIC,3146,Eastern Metro,Home Care,,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.845708,145.044692," $963,624 "
BlueCross EACH Eastern,381 Tooronga Road,,HAWTHORN EAST,VIC,3123,Eastern Metro,Home Care,,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.845708,145.044692," $73,739 "
BlueCross EACH Southern,381 Tooronga Road,,HAWTHORN EAST,VIC,3123,Eastern Metro,Home Care,,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.845708,145.044692," $178,547 "
BlueCross EACHD Southern,381 Tooronga Road,,HAWTHORN EAST,VIC,3123,Eastern Metro,Home Care,,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.845708,145.044692," $253,587 "
Brimbank City Council Community Aged Care Packages Program,6-18 Alexandra Avenue,,SUNSHINE,VIC,3020,Western Metro,Home Care,,,,Brimbank City Council,Local Government,Major Cities of Australia,-37.7837476,144.8377397, n.a.
Brotherhood Community Care (Northern),515 High Street,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.73675203,145.0040015," $1,446,037 "
Brotherhood Community Care (Northern),515 High Street,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.73675203,145.0040015," $1,334,269 "
Brotherhood Community Care EACH Packages,2 Overton Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-38.129834,145.12572," $1,950,846 "
Brotherhood Community Care Packages (Southern),2 Overton Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-38.129834,145.12572," $3,586,572 "
Brotherhood Community Care Packages (Southern) - EACH Dementia,2 Overton Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-38.129834,145.12572," $976,028 "
Brotherhood Community Care Western Metro Region,515 High Street,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.73675203,145.0040015," $998,223 "
Brotherhood Community Care-Housing Linked Packages,515 High Street,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.73675203,145.0040015," $271,992 "
Brotherhood Of St Laurence - Peninsula,2 Overton Road,,FRANKSTON,VIC,3199,Southern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-38.129834,145.12572," $2,016,809 "
Brotherhood Of St Laurence Housing Linked - Northern Metro,515 High Street,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.73675203,145.0040015," $1,502,270 "
Brotherhood of St Laurence Northern Metro EACHD,515 High Street,,PRESTON,VIC,3072,Northern Metro,Home Care,,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.73675203,145.0040015," $519,224 "
Northern Health Home Care Packages - Level 2,1231 Plenty Road,,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Northern Health,State Government,Major Cities of Australia,-37.70096938,145.0576404," $4,048,408 "
Northern Health Home Care Packages - Level 4,1231 Plenty Road,,BUNDOORA,VIC,3083,Northern Metro,Home Care,,,,Northern Health,State Government,Major Cities of Australia,-37.70096938,145.0576404," $1,763,666 "
CACP Barwon South Western,137 Shannon Avenue,,MANIFOLD HEIGHTS,VIC,3218,Barwon-South Western,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-38.1378434,144.3367236," $2,447,380 "
Calvary Silver Circle,433 South Road,,BENTLEIGH,VIC,3204,Southern Metro,Home Care,,,,Calvary Community Care,Religious,Major Cities of Australia,-37.933041,145.036555," $3,860,030 "
Calvary Community Care,213 a Princes Drive,,MORWELL,VIC,3840,Gippsland,Home Care,,,,Calvary Community Care,Religious,Inner Regional Australia,-38.2368078,146.3994152," $1,611,989 "
Cann Valley Bush Nursing Centre,23-25 Monaro Highway,,CANN RIVER,VIC,3890,Gippsland,Home Care,,,,Cann Valley Bush Nursing Centre Inc,Community Based,Remote Australia,-37.563873,149.151533," $178,816 "
Cann Valley Bush Nursing Centre Inc,23-25 Monaro Highway,,CANN RIVER,VIC,3890,Gippsland,Home Care,,,,Cann Valley Bush Nursing Centre Inc,Community Based,Remote Australia,-37.563873,149.151533," $35,425 "
Care Connect  - Housing Linked,"Level 1, 641 Mt Alexander Road",,MOONEE PONDS,VIC,3039,Western Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.766487,144.924223," $276,820 "
Care Connect  - Total Western Metro General Packages,"Level 1, 641 Mt Alexander Road",,MOONEE PONDS,VIC,3039,Western Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.766487,144.924223," $1,173,339 "
Care Connect - Eastern Metro General Packages,605 Doncaster Road,,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.787312,145.123817," $2,171,476 "
Care Connect - Eastern Metro General Packages,605 Doncaster Road,,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.787312,145.123817," $579,949 "
Care Connect - Eastern Metro General Packages,605 Doncaster Road,,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.787312,145.123817," $405,854 "
Care Connect - General West Metro,"Level 1, 641 Mt Alexander Road",,MOONEE PONDS,VIC,3039,Western Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.766487,144.924223," $327,123 "
Care Connect - Northern EACH,"Level 1, 641 Mt Alexander Road",,MOONEE PONDS,VIC,3039,Western Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.766487,144.924223," $82,534 "
Care Connect - Southern Region EACHD Services,"Suite 4, 614 Hawthorn Road",,EAST BRIGHTON,VIC,3187,Southern Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.902005,145.01883," $4,320 "
Care Connect CACP Service - Northern Region,"Level 1, 641 Mt Alexander Road",,MOONEE PONDS,VIC,3039,Western Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.766487,144.924223," $207,395 "
Care Connect CACP Service - Southern Region,"Suite 4, 614 Hawthorn Road",,EAST BRIGHTON,VIC,3187,Southern Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.902005,145.01883," $384,875 "
Care Connect Western Region EACH Services,"Level 1, 641 Mt Alexander Road",,MOONEE PONDS,VIC,3039,Western Metro,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-37.766487,144.924223," $346,140 "
BHCG Community Care Services,"37 Havlin Street, East",,BENDIGO,VIC,3550,Loddon-Mallee,Home Care,,,,Bendigo Health Care Group,State Government,Inner Regional Australia,-37.054127,144.211698," $179,969 "
Catholic Homes EACH - (Inner Eastern Metro),"Unit 2, 4 Stephenson Street",,PAKENHAM,VIC,3810,Southern Metro,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-38.07510229,145.4803444," $40,303 "
Catholic Homes Flexible Options,"Unit 2, 4 Stephenson Street",,PAKENHAM,VIC,3810,Southern Metro,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-38.07510229,145.4803444," $216,535 "
Catholic Homes Flexible Options Outer Eastern Metropolitan (CACPs),"Unit 2, 4 Stephenson Street",,PAKENHAM,VIC,3810,Southern Metro,Home Care,,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-38.07510229,145.4803444," $4,858,963 "
Caulfield Community Health Service,260 Kooyong Road,,CAULFIELD,VIC,3162,Southern Metro,Home Care,,,,Alfred Health,State Government,Major Cities of Australia,-37.882215,145.015908," $1,447,517 "
CCSSCI CACPs Northern,"Suite 6, Level 1, MC Square",687 Doncaster Road,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Chinese Community Social Services Centre Inc,Community Based,Major Cities of Australia,-37.787213,145.131436," $1,681,387 "
CCSSCI CACPs Southern,"Suite 6, Level 1, MC Square",687 Doncaster Road,DONCASTER,VIC,3108,Eastern Metro,Home Care,,,,Chinese Community Social Services Centre Inc,Community Based,Major Cities of Australia,-37.787213,145.131436," $614,666 "
CELAS Community Aged Care Packages,"Suite 107, 44 Hampstead Road",,MAIDSTONE,VIC,3012,Western Metro,Home Care,,,,United-Spanish Latin American Welfare Centre Inc.,Community Based,Major Cities of Australia,-37.778731,144.875602," $471,486 "
Central Grampians Community Care Options,8-22 Patrick Street,,STAWELL,VIC,3380,Grampians,Home Care,,,,Grampians Community Health,State Government,Inner Regional Australia,-37.05618241,142.7839512," $1,206,623 "
Central Grampians Community Care Options,8-22 Patrick Street,,STAWELL,VIC,3380,Grampians,Home Care,,,,Grampians Community Health,State Government,Inner Regional Australia,-37.05618241,142.7839512," $175,575 "
Central Grampians Community Support Options,8-22 Patrick Street,,STAWELL,VIC,3380,Grampians,Home Care,,,,Grampians Community Health,State Government,Inner Regional Australia,-37.05618241,142.7839512," $938,691 "
mecwacare Home Care Packages 2 (Southern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $564,357 "
mecwacare Home Care Packages 3 (Southern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $132,823 "
mecwacare Home Care Packages 4 (Southern Metro Region),1287 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Home Care,,,,MECWA,Community Based,Major Cities of Australia,-37.852367,145.036581," $363,891 "
City Of Hobsons Bay - General,115 Civic Parade,,ALTONA,VIC,3018,Western Metro,Home Care,,,,Hobsons Bay City Council,Local Government,Major Cities of Australia,-37.86385082,144.825089," $879,453 "
City Of Hobsons Bay - Housing Linked,115 Civic Parade,,ALTONA,VIC,3018,Western Metro,Home Care,,,,Hobsons Bay City Council,Local Government,Major Cities of Australia,-37.86385082,144.825089," $310,268 "
City of Melbourne Community Aged Care Package (CACP) Program,90-120 Swanston Street,,MELBOURNE,VIC,3000,Western Metro,Home Care,,,,The City of Melbourne,Local Government,Major Cities of Australia,-37.8147902,144.9665643," $318,349 "
City Of Moonee Valley Care Packages,9 Kellaway Avenue,,MOONEE PONDS,VIC,3039,Western Metro,Home Care,,,,Moonee Valley City Council,Local Government,Major Cities of Australia,-37.764118,144.925021," $2,168,812 "
Co.As.It Community Care Packages-Barwon South Western,189 Faraday Street,,CARLTON,VIC,3053,Western Metro,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Major Cities of Australia,-37.79897491,144.9681402," $204,483 "
Co.As.It Community Care Packages-Hume Region,33 Rose Place,,WALDARA,VIC,3678,Hume,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Inner Regional Australia,-36.333371,146.290884," $323,254 "
Co.As.It. Eastern Metro Community Care Packages,189 Faraday Street,,CARLTON,VIC,3053,Western Metro,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Major Cities of Australia,-37.79897491,144.9681402," $814,877 "
CO.AS.IT. Italian Assistance Association - EACH - Northern Region,189 Faraday Street,,CARLTON,VIC,3053,Western Metro,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Major Cities of Australia,-37.79897491,144.9681402," $512,310 "
CO.AS.IT. Italian Assistance Association - EACH - Western Metro,189 Faraday Street,,CARLTON,VIC,3053,Western Metro,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Major Cities of Australia,-37.79897491,144.9681402," $260,505 "
Co.As.It. Northern Metro Region Care Packages Project,189 Faraday Street,,CARLTON,VIC,3053,Western Metro,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Major Cities of Australia,-37.79897491,144.9681402," $2,382,465 "
Co.As.It. Southern Metro Region Care Packages Project,189 Faraday Street,,CARLTON,VIC,3053,Western Metro,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Major Cities of Australia,-37.79897491,144.9681402," $335,875 "
Co.As.It. Western Metro Region Care Packages Project,189 Faraday Street,,CARLTON,VIC,3053,Western Metro,Home Care,,,,CO.AS.IT. - Italian Assistance Association,Charitable,Major Cities of Australia,-37.79897491,144.9681402," $1,851,826 "
Cobden - Abbeyfield Rural Community Aged Care,5 Victoria Street,,COBDEN,VIC,3266,Barwon-South Western,Home Care,,,,Cobden District Health Services Inc,Community Based,Inner Regional Australia,-38.332235,143.0763," $338,215 "
Cobden - Abbeyfield Rural Community Extended Aged Care,5 Victoria Street,,COBDEN,VIC,3266,Barwon-South Western,Home Care,,,,Cobden District Health Services Inc,Community Based,Inner Regional Australia,-38.332235,143.0763," $438,996 "
Cobden District Health Service Inc,5 Victoria Street,,COBDEN,VIC,3266,Barwon-South Western,Home Care,,,,Cobden District Health Services Inc,Community Based,Inner Regional Australia,-38.332235,143.0763," $705,889 "
Cobram District Community Health Centre EACH,Cobram District Hospital,Broadway Street,COBRAM,VIC,3644,Hume,Home Care,,,,Cobram District Health,State Government,Inner Regional Australia,-35.915888,145.651291," $662,230 "
Cobram District Hospital - CACP,24-32 Broadway Street,,COBRAM,VIC,3644,Hume,Home Care,,,,Cobram District Health,State Government,Inner Regional Australia,-35.91652979,145.6510927," $239,952 "
Community & Integrated Care Division - Hume - EACH Dementia,121-135 Corio Street,,SHEPPARTON,VIC,3630,Hume,Home Care,,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.378821,145.404146," $478,194 "
